Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,-0.000001,0.000000,-0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000000,-0.000001,0.000000,-0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000000,-0.000003,0.000000,-0.000000,0.000000,0.000000
0.034607,0.000000,2.277697,0.000000,0.130900,0.130900,0.001216,0.000000,0.000000,0.000000,0.000000,0.000048,0.000000,-0.000006,0.000000,-0.000005,0.000000,-0.000000,0.000000,-0.122173
0.282050,0.000000,4.434269,0.000000,0.130900,0.130900,0.004608,0.000000,0.000000,0.000000,0.000000,0.000048,0.000000,-0.000010,0.000000,-0.000008,0.000000,-0.000000,0.000000,-0.122173
0.920995,0.000000,6.423038,0.000000,0.130901,0.130901,0.009668,0.000000,0.000000,0.000000,0.000000,0.000048,0.000000,-0.000015,0.000000,-0.000011,0.000000,-0.000000,0.000000,-0.122173
2.086999,0.000000,8.256984,0.000000,0.130904,0.130904,0.015977,0.000000,0.000000,0.000000,0.000000,0.000048,0.000000,-0.000021,0.000000,-0.000016,0.000000,-0.000000,0.000000,-0.122173
3.880193,0.000000,9.948036,0.000000,0.130911,0.130911,0.023192,0.000000,0.000000,0.000000,0.000000,0.000048,0.000000,-0.000029,0.000000,-0.000022,0.000000,-0.000000,0.000000,-0.122173
